"","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","fred","raoQ","simpson","time"
"31",147,0.604554251931256,0.640733140629368,0.472652786513598,0.741933,0.780707796136272,0.787920628143774,0.397754488258587,0.503541377802475,-0.000883775008521735,0.0460643354058538,0.00633717002006397,0.0104174273419256,0.282307242676665,0.707462140442583,0.989769383119249,"31"
"32",147,0.604502017503353,0.64072293704133,0.472361751224128,0.741178,0.780707796136272,0.787956947030904,0.397508128208224,0.503552712887544,-0.000664315994052478,0.0462185070674888,0.0061304246782276,0.0107597096725279,0.282266309472887,0.707514703061504,0.989781012534391,"32"
"33",145,0.60448231090637,0.641188074132514,0.4700108916371,0.73573,0.778351937235077,0.785365439816249,0.393591591914446,0.503857437971736,-0.000238618356974807,0.0476242822983492,0.00590122423384724,0.0132257604455598,0.282774764371333,0.706782457414463,0.989557221785796,"33"
"34",147,0.5932850618972,0.632366528544046,0.479637281953705,0.730614,0.773930470004467,0.786917082684506,0.399222995029036,0.495628219936213,-0.00793150450968864,0.0445144143102,0.0179453450857382,0.0153653745356163,0.276930360140662,0.710109874198775,0.987040234339436,"34"
"35",149,0.616247972050816,0.651465771557222,0.514814212597167,0.74404,0.822479931398308,0.791771994698947,0.441661355331956,0.517386958028251,0.0157777431319763,0.0743492095794342,-0.00598939123172187,0.00871918575149445,0.265592480982427,0.718176445499087,0.983768926481514,"35"
"36",149,0.618006093623579,0.652302093279352,0.515665031682144,0.739513,0.822479931398308,0.793349421887195,0.442558427646017,0.518611981822472,0.0151602912385248,0.0737654118819085,-0.00648142349176292,0.00757242451925371,0.26470001839124,0.719060876996874,0.983760895388114,"36"
"37",149,0.616250918788703,0.651668681957754,0.519399597754156,0.738674,0.822479931398308,0.792985877343263,0.443060220287924,0.517641837876032,0.0117427546835851,0.0750905775505821,-0.0064285464442689,0.00702850453119773,0.263838689003722,0.720078580979106,0.983917269982828,"37"
"38",145,0.618738009537839,0.65150385472684,0.486298949749759,0.761307,0.757916834634928,0.774417712730238,0.424636350588397,0.516772830158218,0.0489333255550758,0.0453892783552464,-0.00943490555924379,0.00113044868531707,0.274214876674891,0.714820238580852,0.989035115255743,"38"
"39",144,0.62037528677585,0.653007460718037,0.488392274652464,0.759026,0.757916834634928,0.775055732038002,0.425589421645938,0.518356589843359,0.0486897035422467,0.0468831870518359,-0.0116707746306872,0.00141414743555217,0.272864597496167,0.715996873245199,0.988861470741367,"39"
"40",143,0.613975280516529,0.647845512682175,0.498224934893065,0.761423,0.756639662378799,0.772526098742221,0.430640539603521,0.511767997470846,0.0387773385255263,0.0446705657516518,-0.0102540011209068,0.00220441053916164,0.274547705274645,0.714352003157729,0.988899708432374,"40"
"41",154,0.615137617549649,0.647621611680561,0.506075205890366,0.732147,0.806019196852112,0.775399816717467,0.445920443405037,0.512353955210846,0.00843520624252807,0.0509666603845793,-0.0291676333124791,-0.00458717506043184,0.275605098200987,0.706870486511028,0.982475584712016,"41"
"42",155,0.620848376331122,0.650936856787164,0.507953706201563,0.732504,0.811462260955077,0.778596274871138,0.448207586021206,0.51637505302712,0.00156422971788826,0.0494208584772999,-0.0277198442873259,-0.00660893793219644,0.272559269113971,0.710160425309249,0.98271969442322,"42"
"43",155,0.621060491402588,0.651231073875028,0.508624027728043,0.726342,0.811462260955077,0.778693675982132,0.449181447367689,0.516807528184501,0.0017500133073246,0.0498502418413883,-0.0291277769138331,-0.00684235142328736,0.272120634281513,0.710380584211457,0.98250121849297,"43"
"44",140,0.630074921793755,0.658310836634124,0.481274930339544,0.708192,0.796025497388638,0.812539945896189,0.422427217374574,0.524802132420866,-0.0262737884383924,0.0415220691112545,-0.0160053760025418,-0.00631954907876067,0.26055515261946,0.728240175508251,0.988795328127712,"44"
"45",141,0.637177172436282,0.664789868540778,0.486542404822603,0.710895,0.804159677974134,0.825500730649857,0.433401722875749,0.536547118989103,-0.0444949444626687,0.056656097289989,-0.018651691612209,-0.0152333362607087,0.254460403085256,0.731614338669141,0.986074741754397,"45"
"46",139,0.63218202545237,0.660044160659554,0.479411792188951,0.710272,0.796025497388638,0.815080252848506,0.422309938037071,0.526846472346893,-0.0278756560120459,0.0418306695259855,-0.0158078586627501,-0.00666638175160882,0.260528274176547,0.728223986802267,0.988752260978813,"46"
"47",137,0.632851392546128,0.66171380321081,0.484717945372934,0.716934,0.796025497388638,0.814903039498728,0.422520394837499,0.52789345865508,-0.0280051397671659,0.0446464378722196,-0.0156075659538079,-0.00693974644288868,0.260112107755041,0.72847204763107,0.988584155386111,"47"
"48",152,0.719369244646003,0.72057863195098,0.485472366560317,0.646514,0.868472203149008,0.867878997792397,0.44686072054401,0.606894883254285,0.0716017550758775,0.0639268459926111,-0.0521365504196714,-0.0208429687675943,0.248161730706389,0.738960908513478,0.987122639219867,"48"
"49",151,0.720092063885644,0.721593373816483,0.485371476569531,0.641708,0.868472203149008,0.867535513308488,0.446903113710409,0.607422026346866,0.0722817309697593,0.0631578819546507,-0.0522898062010649,-0.0210545457499896,0.247833480486316,0.739186762192175,0.987020242678491,"49"
"50",150,0.721651066264597,0.72233595618435,0.48836478490642,0.640226,0.868472203149008,0.868857993428879,0.449554011025313,0.609055880534428,0.074909873196695,0.0625948583567425,-0.0514643165766146,-0.0219316420910032,0.247680181413719,0.73933637483498,0.987016556248699,"50"
"51",151,0.721968251116851,0.722727406085639,0.487848909096938,0.643707,0.868472203149008,0.868353875510374,0.449432402807903,0.609001558630069,0.0740505299571022,0.0622904958131514,-0.0510231717430525,-0.0225666767282459,0.247476865968126,0.739609265553371,0.987086131521497,"51"
"52",150,0.71948630824873,0.716707187379427,0.476272320196877,0.635458,0.868472203149008,0.874992190631014,0.441454343781676,0.599294383357988,0.0521052423290027,0.0616270992300257,-0.0348377784556216,-0.0188311585476278,0.239121616015468,0.7444190208214,0.983540636836868,"52"
"53",147,0.719952668315149,0.717649897877391,0.477618413047897,0.628072,0.852110765847233,0.874925695322983,0.441586067773406,0.599680449693904,0.0525384376016274,0.0608704435167625,-0.037273683309223,-0.0173609263914647,0.239665120786606,0.743788610948092,0.983453731734699,"53"
